,Hi,Wa,Rm,Wm,Te
0,11000.0,4.0,1.0,4.0,50.0
1,8000.0,4.0,1.0,4.0,20.0
2,5000.0,4.0,1.0,6.0,1.0
3,6000.0,4.0,10.0,6.0,30.0
4,1160.0,4.0,10.0,6.0,30.0
5,300.0,4.0,1.0,4.0,53.0
6,2000.0,4.0,10.0,4.0,20.0
7,3000.0,4.0,1.0,4.0,20.0
8,5300.0,3.0,1.0,6.0,15.0
9,5030.0,3.0,1.0,6.0,15.0
10,8000.0,3.0,1.0,6.0,5.0
11,0.0,3.0,1.0,5.0,16.0
12,4500.0,4.0,1.0,1.0,15.0
13,0.0,2.0,1.0,6.0,29.0
14,1500.0,3.0,1.0,5.0,15.0
15,2000.0,3.0,1.0,6.0,15.0
16,18000.0,4.0,8.0,4.0,15.0
17,3000.0,3.0,1.0,5.0,15.0
18,11030.0,4.0,1.0,5.0,15.0
19,5500.0,4.0,8.0,4.0,9.0
20,1500.0,4.0,1.0,5.0,17.0
21,5700.0,3.0,1.0,6.0,1.0
22,1200.0,3.0,1.0,6.0,14.0
23,1300.0,4.0,1.0,5.0,14.0
24,5000.0,3.0,1.0,6.0,14.0
25,1120.0,3.0,1.0,5.0,13.0
26,3000.0,3.0,1.0,6.0,14.0
27,3000.0,3.0,1.0,5.0,18.0
28,0.0,3.0,10.0,6.0,12.0
29,5000.0,3.0,7.0,6.0,11.0
30,4100.0,4.0,1.0,6.0,12.0
31,0.0,3.0,1.0,5.0,18.0
32,4000.0,3.0,1.0,11.0,18.0
33,4000.0,3.0,1.0,6.0,14.0
34,4000.0,3.0,1.0,5.0,23.0
35,1140.0,4.0,1.0,6.0,23.0
36,1000.0,3.0,1.0,5.0,18.0
37,1140.0,3.0,1.0,6.0,17.0
38,1100.0,3.0,1.0,11.0,18.0
39,4500.0,3.0,1.0,6.0,18.0
40,4000.0,3.0,1.0,5.0,18.0
41,0.0,3.0,1.0,6.0,3.0
42,2280.0,4.0,1.0,6.0,23.0
43,6000.0,3.0,1.0,6.0,23.0
44,2280.0,3.0,1.0,5.0,8.0
45,1140.0,3.0,1.0,6.0,7.0
46,0.0,3.0,1.0,5.0,10.0
47,0.0,3.0,1.0,5.0,1.0
48,1140.0,3.0,1.0,4.0,7.0
49,2000.0,2.0,1.0,5.0,8.0
50,1140.0,3.0,1.0,6.0,8.0
51,1140.0,3.0,1.0,6.0,8.0
52,1140.0,3.0,1.0,5.0,8.0
53,1140.0,3.0,1.0,6.0,8.0
54,2000.0,3.0,1.0,5.0,3.0
55,1140.0,4.0,10.0,5.0,59.0
56,0.0,4.0,8.0,4.0,36.0
57,2280.0,4.0,1.0,4.0,50.0
58,1100.0,4.0,10.0,6.0,30.0
59,1160.0,4.0,1.0,5.0,28.0
60,3000.0,4.0,8.0,4.0,30.0
61,3000.0,4.0,1.0,6.0,1.0
62,1200.0,4.0,1.0,6.0,8.0
63,2320.0,4.0,8.0,6.0,29.0
64,4000.0,4.0,10.0,5.0,54.0
65,0.0,4.0,10.0,5.0,46.0
66,1160.0,4.0,10.0,6.0,30.0
67,1160.0,4.0,8.0,6.0,40.0
68,5000.0,4.0,10.0,6.0,25.0
69,0.0,4.0,1.0,4.0,20.0
70,3480.0,4.0,1.0,4.0,40.0
71,8000.0,4.0,10.0,5.0,3.0
72,1500.0,4.0,10.0,5.0,51.0
73,4500.0,4.0,1.0,4.0,13.0
74,0.0,4.0,1.0,4.0,12.0
75,14000.0,4.0,10.0,5.0,40.0
76,3100.0,4.0,8.0,4.0,3.0
77,1150.0,4.0,1.0,4.0,28.0
78,1160.0,4.0,1.0,6.0,28.0
79,0.0,4.0,1.0,6.0,10.0
80,1150.0,4.0,10.0,5.0,34.0
81,3000.0,4.0,1.0,4.0,12.0
82,0.0,4.0,1.0,4.0,4.0
83,10000.0,4.0,8.0,6.0,25.0
84,4000.0,3.0,1.0,5.0,7.0
85,6200.0,3.0,1.0,1.0,8.0
86,6200.0,3.0,1.0,1.0,4.0
87,5000.0,3.0,1.0,7.0,1.0
88,12000.0,4.0,8.0,4.0,15.0
89,15000.0,4.0,8.0,4.0,15.0
90,5500.0,3.0,1.0,6.0,16.0
91,1030.0,3.0,1.0,6.0,15.0
92,4000.0,4.0,1.0,5.0,6.0
93,1030.0,4.0,2.0,4.0,10.0
94,1030.0,3.0,1.0,6.0,16.0
95,3000.0,3.0,1.0,5.0,15.0
96,1030.0,3.0,1.0,6.0,11.0
97,1050.0,4.0,1.0,5.0,15.0
98,0.0,3.0,1.0,5.0,14.0
99,4000.0,3.0,1.0,5.0,1.0
100,16000.0,4.0,1.0,4.0,15.0
101,15000.0,4.0,1.0,5.0,15.0
102,5000.0,4.0,1.0,5.0,15.0
103,500.0,4.0,1.0,5.0,20.0
104,7030.0,3.0,1.0,6.0,15.0
105,5000.0,3.0,1.0,4.0,15.0
106,2060.0,3.0,1.0,5.0,15.0
107,4000.0,3.0,1.0,1.0,1.0
